,Record1,Record2,label
31,Corsair Vengeance Performance 8GB (2 x 4GB) DDR3L 1600MHz PC3 12800 Laptop Memory Kit (CMSX8GX3M2B1600C9),Corsair Vengeance 8GB High Performance Laptop Memory Upgrade Kit CMSX8GX3M2B1600C9 Multi CMSX8GX3M2B1600C9 ,1
32,Case Logic 15.6-Inch Laptop and iPad Slim Case (AUA-316ANTH),Case Logic Laptop Sleeve Black LAPS-114BL ,1
33,Case Logic 15.6-Inch Laptop Case (VNCI-215),Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,1
34,"Plugable UD-3900 USB 3.0 Universal Docking Station with Dual Video Outputs for Windows 10, 8.1, 7, & XP (HDMI and DVI / VGA, Gigabit Ethernet, Audio, 6 USB Ports, 20W Power Adapter)",Fellowes LaptopFlat Panel Pr 4801601 ,0
35,Electricking Replacement Laptop AC Adapter Power Supply Charger,HQRP HQRP 72W Laptop AC Adapter 884667309080926 ,1
36,"Targus CitySmart Slipcase for 16-Inch Laptops, Gray (TSS59404US)",Targus CitySmart Laptop Slip Case Gray TSS59404US ,1
37,"Targus Space Saving Lap Chill Mat for Laptop up to 17-Inch, Gray/Black (AWE80US)","California Pak International, Inc MCB515 BLACK ",0
38,"Ikea Laptop Support, Black/white","Agptek.com, Inc LR52 ",0
39,Swiss Gear MYTHOS Computer Backpack 15.6 inch/16 inch inch Laptop Computer Backpack (Black/Blue) by Wenger,Swiss Gear Commute Laptop Backpack Multi 600762 ,1
40,HP Pavilion 17-g120nr 17.3-Inch Laptop,HP Pavilion 2in1 11.6 TouchScreen Laptop Intel Pentium 4GB Memory 500GB Hard Drive Red 11-k062nr x360 ,0
41,Kensington 64068F MicroSaver Keyed Laptop Lock for Business,Logitech K360 Wireless Keyboard Black 920-004088 ,0
42,Case Logic 17-Inch Security Friendly Laptop Case (ZLCS-217),Case Logic Laptop Backpack Gray DLBP-116DA ,1
43,McKleinUSA DAVIS 96185A Black Wheeled Ladies' Laptop Case,Samsonite Classic Business Wheeled Laptop Case Black 43876-1041 ,1
44,Case Logic 15.6-Inch Laptop Attache (VNAI-215),Case Logic Laptop Case Black VNCI-215BL ,1
45,OGIO Renegade Laptop Briefcase,Eddie Bauer Laptop Briefcase Brown EBLTHSLIM16-BRN ,1
46,Case Logic PLS-17 17-Inch Neoprene Laptop Sleeve (Black),Case Logic Case Logic 17 Notebook Sleeve Black PLS-17BLAC ,1
47,"LUXA2 EnerG Bar 65W Universal Laptop Adapter for ASUS, ACER, HP, IBM, LENOVO, DELL, TOSHIBA, Ultrabook (PO-ULA-PC65BK-00)",Looptworks Hoptu 11 Laptop Sleeve Blue 80042411 ,0
48,Lenovo Flex 3 11.6 Inch  TouchScreen 2-in-1 Laptop PC - Intel Celeron processor N2840/ 4GB DDR3L / 500GB HD / HD Webcam / WLAN 802.11b/g/n / Bluetooth 4.0 / Windows 8.1,Lenovo Flex 3 2in1 11.6 TouchScreen Laptop Intel Celeron 4GB Memory 500GB Hard Drive Black 80LY0008US ,1
49,AmazonBasics Laptop Stand - Silver,"Case Logic, Inc LAPS113 ",0
50,Case Logic PLS-13 Neoprene 13.3-Inch Neoprene Laptop Sleeve (Black),Case Logic Laptop Sleeve Black LAPS-117 ,1
51,Lenovo G410 Laptop Computer - 59410765 - Black - Intel Core i5-4200M Processor( 2.50GHz 1600MHz 3MB),Lenovo ThinkPad 15.6 Laptop Intel Core i5 4GB Memory 500GB Hard Drive Black E550 - 20DF0030US ,1
52,2015 NEWEST Lenovo Ideapad 15.6-Inch | Latest Intel Pentium N3540 | 4GB Memory | 500GB Hard Drive | 1366 x 768 Resolution | 720P HD | Intregrated Intel HD Graphics | Webcam | Windows 10 Laptop,Lenovo Yoga 2 2in1 11.6 TouchScreen Laptop Intel Pentium 4GB Memory 500GB Hard Drive Silver 59440471 ,1
53,Everest Luggage Slim Laptop Backpack,Griffin Technology Elevator Desktop Stand for Laptops Gray GC16034 ,0
54,SwissGear ScanSmart Laptop Backpack - Black,Mobile Edge Express 2.0 Laptop Backpack Black MEBPE32 ,1
55,NIID - Decode Laptop Tote,Samsonite Laptop Tote Black 49573-1041 ,1
56,Corsair Vengeance Performance 16GB (2x8GB) DDR3 1866MHz Laptop Memory (CMSX16GX3M2B1866C10),PNY 16GB 1.6GHz PC312800 DDR3 Laptop Memory Green MN16384KD3-1600 ,1
57,Case Logic PLS-15 15.4-16 Inch Neoprene Laptop Sleeve (Black),Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,1
58,"4GB kit (2GBx2) DDR2 PC2-6400 LAPTOP Memory Modules (200-pin SODIMM, 800MHz) Genuine A-Tech Brand","California Pak International, Inc SB3060WABK ",0
59,Case Logic Evolution Deluxe Backpack for Laptops and Tablets (BPED-115),Agptek Laptop Notebook Cooling Cooler Fan Pad for Apple Macbook DELL HP Acer Laptop Black FL1YA ,0
60,Kensington 11-Inch Laptop Chromebook Sleeve (K62609WW),HQRP **A66_12Sep13___NVK+PAO ,0
61,HP EliteBook 8470P 14 Inch  Notebook PC - Intel Core i5-3320M 2.6GHz 4GB 320GB DVDRW Windows 7 Pro (Certified Refurbished),HP 15.6 Notebook 4 GB Memory 500 GB Hard Drive Multi N2S77UT#ABA ,0
62,Walsoon Cool Cold Portable Laptop USB Cooling Fan Air Extracting Cooler Speed Adjustable,HQRP **A19_12Sep13___NVK+PAO ,0
63,Laptop AC Adapter Charger for HP Pavilion dv2500,ZAGG InvisibleSHIELD for HP Envy Ultrabook 14 TouchScreen Laptops BSM2HPENVT ,0
64,CUCCOT 11 - 15.6 inches Portable Laptop Cooling Pad / Chill Mat with Dual 140mm Blue LED Fans & Dual USB Ports / Notebook Stand with 6 - Level Adjustable Height - Black,Case Logic Case Logic DLBP116BLACK Carr Black DLBP-116BL ,0
65,HP Pavilion 17-g140nr 17.3-Inch Laptop,HP 15.6 ProBook Notebook 4 GB Memory 500 GB Hard Drive Multi L8E07UT#ABA ,0
66,14.1 inch Purple Diamond Quilted Pattern with Black Accent Trim Bubble Foam Padded Laptop Computer Notebook Sleeve Office Tote Briefcase Carry Case Messenger Shoulder Bag,"Agptek.com, Inc MA700JA ",0
67,"Mosiso - Chevron Hot Blue Canvas Fabric 13 Inch Laptop / Notebook Computer / MacBook Air / MacBook Pro / Acer / Asus / Fujitsu / Lenovo / HP / Samsung / Toshiba / Sony Briefcase Carry Case Shoulder Bag Case, Chevron Hot Blue","Dantona Industries, Inc DQDL606A5525 ",0
68,Merkury Innovations 16 Inch Neoprene Laptop Sleeve (Black/Purple),Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,1
69,Lenovo ThinkPad L440 20AT0020US 14-Inch Laptop (Black),Lenovo Edge 2in1 15.6 TouchScreen Laptop Intel Core i7 8GB Memory 1TB Hard Drive Black LENOVO EDGE 15 - 80K90001US ,0
70,Case Logic Berkeley Plus BPCA-115 15-Inch Laptop Backpack (Anthracite),"Agptek.com, Inc MA254FA ",0
71,Red Rock Outdoor Gear Navigator Laptop Bag,Sumdex Sumdex PON377BK Full Speed F Black PON-377BK ,0
72,Caseling 14-Inch Neoprene Sleeve Pouch Case Bag for Laptop - Blue/ Green,Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,1
73,AmazonBasics Laptop Backpack - Fits Up To 15-Inch Laptops,"Agptek.com, Inc LD70TTE ",0
74,Turtleback Black Leather 13.3 inch Laptop Sleeve Bag Cover Case for MacBook Air/Pro 13 and Ultrabook 13 - Made in the USA,Thule Gauntlet 2.0 Sleeve for 13 Apple MacBook Pro Gray TGPS-213 GRAY ,0
75,Cooler Master NotePal U2 PLUS - Laptop Cooling Pad with 2 Movable High Performance Fans (Black),"Agptek.com, Inc 42T5229 ",0
76,"Solo Classic 17.3 Inch  Laptop Rolling Case, Black, PT136-4",Solo Classic Rolling Laptop Case Black B100-4 ,1
77,"Mobile Edge 16-Inch Verona Laptop Tote, Graphite (MEWVLG)",Mobile Edge Verona Women's Laptop Tote Multi MEWVLG ,1
78,Corsair Vengeance 8GB (2x4GB)  DDR3 1600 MHz (PC3 12800) Laptop  Memory (CMSX8GX3M2A1600C9),Denaq NMEV060556 ,0
79,Lenovo G410 Laptop Computer - 59410765 - Black - Intel Core i5-4200M Processor( 2.50GHz 1600MHz 3MB),Lenovo ThinkPad 14 Laptop Intel Core i5 4GB Memory 500GB Hard Drive Black T450 - 20BV0005US ,1
80,TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Vintage Paisley Patterns,HQRP **A56_12Sep13___NVK+PAO ,0
81,Cooler Master NotePal ErgoStand Lite - Height Adjustable Laptop Cooling Stand with Adjustable Fan,Cooler Master NotePal ErgoStand Lite Laptop Cooler Black R9-NBS-ESLK-GP ,1
82,Case Logic VNM-217 17-Inch Laptop Messenger Bag (Black),Case Logic Laptop Sleeve Pink LAPS-116PI ,1
83,HP Elitebook 2560P Notebook PC - Intel I5 2620M 2.5ghz 4Ggb 160gb 12.5 Inch  Windows 7 Pro (Certified Refurbished),HP 15.6 Notebook 4 GB Memory 750 GB Hard Drive Black 15-g013dx ,0
84,JGmax Gaming Stereo Headset with Noise Reduction and Blue Light for Laptop Computer (Black & Blue),"Agptek.com, Inc Li10AL ",0
85,Dell Latitude D820 Laptop Notebook - Core Duo 1.6GHz - 2GB DDR2 - 60GB - DVD+CDRW - Windows 8.1 32bit - (Certified Refurbished),Dell 14 Latitude Notebook 4 GB Memory 160 GB Hard Drive Gray E6420 ,0
86,17 Inch Red Flowers Floral Design Laptop Computer Carrying Case Messenger Shoulder Bag Briefcase,"Agptek.com, Inc ld46UPTJ ",0
87,"Targus CityLite Top-Loading Case Designed for 16-Inch Laptop, Black (TBT053US)","Agptek.com, Inc Dell3120663 ",0
88,Case Logic 17.3-Inch Laptop Backpack (RBP-217),Case Logic CheckpointFriendly Laptop Case ZLCS-214 ,1
89,Case Logic 17.3-Inch Laptop Case (VNCI-217),Case Logic Attach Laptop Case Gray MLA-116 GRAY ,1
90,Lenovo ThinkPad E550 15.6 Inch  i3-4005U 8GB 500GB SSD Windows 7 Pro Student Notebook Computer,Lenovo 17.3 Notebook 16 GB Memory 1 TB Hard Drive Black 80DU004HUS ,0
91,Case Logic MLA-116 15.6-Inch Laptop and iPad? Attachﾨﾦ (Gray),"Agptek.com, Inc LH26 ",0
92,"Case Logic BEBP-115 15.6-Inch Laptop and Tablet Backpack, Black",Case Logic Laptop Backpack Black RBP-117BLA ,1
93,7 inch 789 PC MID Android 4.2 Notebook WM8880 Dual Core 1.5GHz WVGA Screen 4GB ROM Camera WiFi Ethernet HDMI,Aluratek 14 LCD Digital Photo Frame Black ADMPF114F ,0
94,"Belkin Slim 15.4 Inch  Notebook Polyester Backpack, Black/Light Gray","Agptek.com, Inc LH26BC ",0
95,"Case Logic VLS-114 13-Inch, 14-Inch Laptop Sleeve (Black)",Case Logic Laptop Sleeve Pink LAPS-116PI ,1
96,Case Logic 15.6-Inch Laptop Backpack (Anthracite ),Case Logic Laptop Backpack Gray DLBP-116DA ,1
97,"Case Logic Sleeve for 15.6-Inch Notebook, Purple (LAPS-116PU)",Case Logic 17 Laptop Sleeve Black Black LAPS-117 ,1
98,17 Inch Red Flowers Floral Design Laptop Computer Carrying Case Messenger Shoulder Bag Briefcase,Lenmar LBZ352HP Notebook Batt Black LBZ352HP ,0
99,Kingston HyperX Impact Black 8GB Kit (2x4GB) 2133MHz DDR3L CL11 SODIMM 1.35V Notebook Memory (HX321LS11IB2K2/8),"Cocoon Innovations, LLC CPS380GY ",0
