C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,Labels
Case Logic PLS-13 Neoprene 13.3-Inch Neoprene Laptop Sleeve (Black),Lenovo G410 Laptop Computer - 59410765 - Black - Intel Core i5-4200M Processor( 2.50GHz 1600MHz 3MB),2015 NEWEST Lenovo Ideapad 15.6-Inch | Latest Intel Pentium N3540 | 4GB Memory | 500GB Hard Drive | 1366 x 768 Resolution | 720P HD | Intregrated Intel HD Graphics | Webcam | Windows 10 Laptop,Everest Luggage Slim Laptop Backpack,SwissGear ScanSmart Laptop Backpack - Black,Case Logic Laptop Sleeve Black LAPS-117 ,Lenovo Yoga 2 2in1 11.6 TouchScreen Laptop Intel Pentium 4GB Memory 500GB Hard Drive Silver 59440471 ,Mobile Edge Express 2.0 Laptop Backpack Black MEBPE32 ,Griffin Technology Elevator Desktop Stand for Laptops Gray GC16034 ,Lenovo ThinkPad 15.6 Laptop Intel Core i5 4GB Memory 500GB Hard Drive Black E550 - 20DF0030US ,"[(0, 5), (1, 9), (2, 6), (4, 7)]"
NIID - Decode Laptop Tote,Corsair Vengeance Performance 16GB (2x8GB) DDR3 1866MHz Laptop Memory (CMSX16GX3M2B1866C10),Case Logic PLS-15 15.4-16 Inch Neoprene Laptop Sleeve (Black),"4GB kit (2GBx2) DDR2 PC2-6400 LAPTOP Memory Modules (200-pin SODIMM, 800MHz) Genuine A-Tech Brand",Case Logic Evolution Deluxe Backpack for Laptops and Tablets (BPED-115),Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,"California Pak International, Inc SB3060WABK ",Agptek Laptop Notebook Cooling Cooler Fan Pad for Apple Macbook DELL HP Acer Laptop Black FL1YA ,PNY 16GB 1.6GHz PC312800 DDR3 Laptop Memory Green MN16384KD3-1600 ,Samsonite Laptop Tote Black 49573-1041 ,"[(0, 9), (1, 8), (2, 5)]"
Kensington 11-Inch Laptop Chromebook Sleeve (K62609WW),HP EliteBook 8470P 14 Inch  Notebook PC - Intel Core i5-3320M 2.6GHz 4GB 320GB DVDRW Windows 7 Pro (Certified Refurbished),Walsoon Cool Cold Portable Laptop USB Cooling Fan Air Extracting Cooler Speed Adjustable,Laptop AC Adapter Charger for HP Pavilion dv2500,CUCCOT 11 - 15.6 inches Portable Laptop Cooling Pad / Chill Mat with Dual 140mm Blue LED Fans & Dual USB Ports / Notebook Stand with 6 - Level Adjustable Height - Black,Case Logic Case Logic DLBP116BLACK Carr Black DLBP-116BL ,ZAGG InvisibleSHIELD for HP Envy Ultrabook 14 TouchScreen Laptops BSM2HPENVT ,HQRP **A66_12Sep13___NVK+PAO ,HP 15.6 Notebook 4 GB Memory 500 GB Hard Drive Multi N2S77UT#ABA ,HQRP **A19_12Sep13___NVK+PAO ,[]
HP Pavilion 17-g140nr 17.3-Inch Laptop,14.1 inch Purple Diamond Quilted Pattern with Black Accent Trim Bubble Foam Padded Laptop Computer Notebook Sleeve Office Tote Briefcase Carry Case Messenger Shoulder Bag,"Mosiso - Chevron Hot Blue Canvas Fabric 13 Inch Laptop / Notebook Computer / MacBook Air / MacBook Pro / Acer / Asus / Fujitsu / Lenovo / HP / Samsung / Toshiba / Sony Briefcase Carry Case Shoulder Bag Case, Chevron Hot Blue",Merkury Innovations 16 Inch Neoprene Laptop Sleeve (Black/Purple),Lenovo ThinkPad L440 20AT0020US 14-Inch Laptop (Black),"Dantona Industries, Inc DQDL606A5525 ",Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,"Agptek.com, Inc MA700JA ",HP 15.6 ProBook Notebook 4 GB Memory 500 GB Hard Drive Multi L8E07UT#ABA ,Lenovo Edge 2in1 15.6 TouchScreen Laptop Intel Core i7 8GB Memory 1TB Hard Drive Black LENOVO EDGE 15 - 80K90001US ,"[(3, 6)]"
Case Logic Berkeley Plus BPCA-115 15-Inch Laptop Backpack (Anthracite),Red Rock Outdoor Gear Navigator Laptop Bag,Caseling 14-Inch Neoprene Sleeve Pouch Case Bag for Laptop - Blue/ Green,AmazonBasics Laptop Backpack - Fits Up To 15-Inch Laptops,Turtleback Black Leather 13.3 inch Laptop Sleeve Bag Cover Case for MacBook Air/Pro 13 and Ultrabook 13 - Made in the USA,Thule Gauntlet 2.0 Sleeve for 13 Apple MacBook Pro Gray TGPS-213 GRAY ,Case Logic Neoprene Laptop Sleeve Black Pls-13 Black ,Sumdex Sumdex PON377BK Full Speed F Black PON-377BK ,"Agptek.com, Inc LD70TTE ","Agptek.com, Inc MA254FA ","[(2, 6)]"
Cooler Master NotePal U2 PLUS - Laptop Cooling Pad with 2 Movable High Performance Fans (Black),"Solo Classic 17.3 Inch  Laptop Rolling Case, Black, PT136-4","Mobile Edge 16-Inch Verona Laptop Tote, Graphite (MEWVLG)",Corsair Vengeance 8GB (2x4GB)  DDR3 1600 MHz (PC3 12800) Laptop  Memory (CMSX8GX3M2A1600C9),Lenovo G410 Laptop Computer - 59410765 - Black - Intel Core i5-4200M Processor( 2.50GHz 1600MHz 3MB),Mobile Edge Verona Women's Laptop Tote Multi MEWVLG ,"Agptek.com, Inc 42T5229 ",Denaq NMEV060556 ,Solo Classic Rolling Laptop Case Black B100-4 ,Lenovo ThinkPad 14 Laptop Intel Core i5 4GB Memory 500GB Hard Drive Black T450 - 20BV0005US ,"[(1, 8), (2, 5), (4, 9)]"
TaylorHe 15.6 inch 15 inch Laptop Skin Vinyl Decal with Colorful Patterns and Leather Effect Laminate MADE IN BRITAIN Vintage Paisley Patterns,Cooler Master NotePal ErgoStand Lite - Height Adjustable Laptop Cooling Stand with Adjustable Fan,Case Logic VNM-217 17-Inch Laptop Messenger Bag (Black),HP Elitebook 2560P Notebook PC - Intel I5 2620M 2.5ghz 4Ggb 160gb 12.5 Inch  Windows 7 Pro (Certified Refurbished),JGmax Gaming Stereo Headset with Noise Reduction and Blue Light for Laptop Computer (Black & Blue),Case Logic Laptop Sleeve Pink LAPS-116PI ,HQRP **A56_12Sep13___NVK+PAO ,Cooler Master NotePal ErgoStand Lite Laptop Cooler Black R9-NBS-ESLK-GP ,"Agptek.com, Inc Li10AL ",HP 15.6 Notebook 4 GB Memory 750 GB Hard Drive Black 15-g013dx ,"[(1, 7), (2, 5)]"
Dell Latitude D820 Laptop Notebook - Core Duo 1.6GHz - 2GB DDR2 - 60GB - DVD+CDRW - Windows 8.1 32bit - (Certified Refurbished),17 Inch Red Flowers Floral Design Laptop Computer Carrying Case Messenger Shoulder Bag Briefcase,"Targus CityLite Top-Loading Case Designed for 16-Inch Laptop, Black (TBT053US)",Case Logic 17.3-Inch Laptop Backpack (RBP-217),Case Logic 17.3-Inch Laptop Case (VNCI-217),Dell 14 Latitude Notebook 4 GB Memory 160 GB Hard Drive Gray E6420 ,Case Logic Attach Laptop Case Gray MLA-116 GRAY ,Case Logic CheckpointFriendly Laptop Case ZLCS-214 ,"Agptek.com, Inc Dell3120663 ","Agptek.com, Inc ld46UPTJ ","[(3, 7), (4, 6)]"
Lenovo ThinkPad E550 15.6 Inch  i3-4005U 8GB 500GB SSD Windows 7 Pro Student Notebook Computer,Case Logic MLA-116 15.6-Inch Laptop and iPad? Attachﾨﾦ (Gray),"Case Logic BEBP-115 15.6-Inch Laptop and Tablet Backpack, Black",7 inch 789 PC MID Android 4.2 Notebook WM8880 Dual Core 1.5GHz WVGA Screen 4GB ROM Camera WiFi Ethernet HDMI,"Belkin Slim 15.4 Inch  Notebook Polyester Backpack, Black/Light Gray","Agptek.com, Inc LH26BC ","Agptek.com, Inc LH26 ",Lenovo 17.3 Notebook 16 GB Memory 1 TB Hard Drive Black 80DU004HUS ,Case Logic Laptop Backpack Black RBP-117BLA ,Aluratek 14 LCD Digital Photo Frame Black ADMPF114F ,"[(2, 8)]"
"Case Logic VLS-114 13-Inch, 14-Inch Laptop Sleeve (Black)",Case Logic 15.6-Inch Laptop Backpack (Anthracite ),"Case Logic Sleeve for 15.6-Inch Notebook, Purple (LAPS-116PU)",17 Inch Red Flowers Floral Design Laptop Computer Carrying Case Messenger Shoulder Bag Briefcase,Kingston HyperX Impact Black 8GB Kit (2x4GB) 2133MHz DDR3L CL11 SODIMM 1.35V Notebook Memory (HX321LS11IB2K2/8),Case Logic 17 Laptop Sleeve Black Black LAPS-117 ,"Cocoon Innovations, LLC CPS380GY ",Case Logic Laptop Backpack Gray DLBP-116DA ,Case Logic Laptop Sleeve Pink LAPS-116PI ,Lenmar LBZ352HP Notebook Batt Black LBZ352HP ,"[(0, 8), (1, 7), (2, 5)]"
